state,location,mean_SQ_fg,total_DNA_ng,ratio_Fvfg_DNAng,year,pass,range,rep,cultivar,trt,product,stand_count,pl_pop_a,pl_pop_ha,wm_dx,rr_di,rr_ds,rr_dx,rdw_g,sdw_g,f_dx,yield_bua,yield_kgha,plant_date,seed_rate_a,seed_rate_ha,row_space_in,row_space_m,soil_type,sds_history,scn_history,irrigation,tillage,prev_crop,scn_count_rep
MI,DECATUR,389.7557515,39.22524678,10.36595606,2023,29,23,1,GH2292E3,1,BASE,69,120764,298413.5849,0,100,2.9,58,1.33,3.01,0.555555556,81.5240568,5482.492819,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,340
MI,DECATUR,389.7557515,39.22524678,10.36595606,2023,32,23,1,GH2292E3,2,BASE+HEADSUP,67,116388,287601.4984,0,100,3,62,1.62,5.51,0.555555556,70.96029047,4772.079534,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,340
MI,DECATUR,389.7557515,39.22524678,10.36595606,2023,30,23,1,P28A65E,3,BASE,57,99761,246515.5701,0,80,2.2,35.2,1.99,4.61,0,76.30588884,5131.571025,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,340
MI,DECATUR,389.7557515,39.22524678,10.36595606,2023,35,23,1,P28A65E,4,BASE+HEADSUP,71,123389,304900.8367,0,60,1.6,19.2,1.25,4.54,0,76.87854037,5170.08184,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,340
MI,DECATUR,389.7557515,39.22524678,10.36595606,2023,33,23,1,DF3211NE3,5,BASE,66,114638,283276.6639,0,80,2.4,38.4,1.58,5.54,0.555555556,76.26779716,5129.009359,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,340
MI,DECATUR,389.7557515,39.22524678,10.36595606,2023,31,23,1,DF3211NE3,6,BASE+HEADSUP,65,112888,278951.8293,0,80,2.2,35.2,1.54,6.1,0,52.46049493,3527.968284,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,340
MI,DECATUR,389.7557515,39.22524678,10.36595606,2023,34,23,1,DF3191NE3,7,BASE,70,121639,300576.0021,0,100,2.8,56,1.88,5.29,0,65.88732252,4430.922439,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,340
MI,DECATUR,389.7557515,39.22524678,10.36595606,2023,28,23,1,DF3191NE3,8,BASE+HEADSUP,74,128640,317875.3404,0,100,3,60,1.84,5.04,0,69.65810467,4684.507539,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,340
MI,DECATUR,285.526801,45.20228837,7.542099703,2023,35,24,2,GH2292E3,1,BASE,66,115513,285439.0812,0,40,1.6,12.8,1.47,4.5,0.555555556,79.73688925,5362.305802,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,160
MI,DECATUR,285.526801,45.20228837,7.542099703,2023,29,24,2,GH2292E3,2,BASE+HEADSUP,71,123389,304900.8367,0,40,1.7,13.6,1.33,4.77,0,63.18114402,4248.931935,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,160
MI,DECATUR,285.526801,45.20228837,7.542099703,2023,31,24,2,P28A65E,3,BASE,70,122514,302738.4194,0,50,1.7,17,1.7,5.16,0,71.58094929,4813.81884,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,160
MI,DECATUR,285.526801,45.20228837,7.542099703,2023,33,24,2,P28A65E,4,BASE+HEADSUP,75,131265,324362.5922,0,80,2.2,35.2,1.41,4.11,0,79.01118377,5313.502109,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,160
MI,DECATUR,285.526801,45.20228837,7.542099703,2023,28,24,2,DF3211NE3,5,BASE,71,123389,304900.8367,0,80,2.2,35.2,1.23,3.54,8.888888889,80.48733469,5412.773258,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,160
MI,DECATUR,285.526801,45.20228837,7.542099703,2023,32,24,2,DF3211NE3,6,BASE+HEADSUP,67,116388,287601.4984,0,50,1.6,16,1.12,4.66,0,78.65913022,5289.826508,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,160
MI,DECATUR,285.526801,45.20228837,7.542099703,2023,34,24,2,DF3191NE3,7,BASE,68,118139,291926.333,0,80,2.5,40,1.4,5.18,0,66.60311237,4479.059307,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,160
MI,DECATUR,285.526801,45.20228837,7.542099703,2023,30,24,2,DF3191NE3,8,BASE+HEADSUP,63,109388,270302.1602,0,20,1.2,4.8,1.64,5.5,0,80.35892252,5404.137539,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,160
MI,DECATUR,382.3747572,55.00074784,7.011990171,2023,33,25,3,GH2292E3,1,BASE,69,120764,298413.5849,0,100,3,60,1.74,6.22,13.33333333,84.72140203,5697.514286,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,220
MI,DECATUR,382.3747572,55.00074784,7.011990171,2023,29,25,3,GH2292E3,2,BASE+HEADSUP,63,110263,272464.5775,0,80,2.4,38.4,1.35,5.57,0,77.18867343,5190.938288,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,220
MI,DECATUR,382.3747572,55.00074784,7.011990171,2023,31,25,3,P28A65E,3,BASE,71,123389,304900.8367,0,60,2,24,1.91,6.53,0,68.88105396,4632.250878,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,220
MI,DECATUR,382.3747572,55.00074784,7.011990171,2023,28,25,3,P28A65E,4,BASE+HEADSUP,70,122514,302738.4194,0,90,2.2,39.6,1.77,5.35,0,65.27284868,4389.599074,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,220
MI,DECATUR,382.3747572,55.00074784,7.011990171,2023,34,25,3,DF3211NE3,5,BASE,60,105012,259490.0738,0,60,1.9,22.8,1.49,5.92,6.666666667,75.4989931,5077.307286,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,220
MI,DECATUR,382.3747572,55.00074784,7.011990171,2023,35,25,3,DF3211NE3,6,BASE+HEADSUP,62,107637,265977.3256,0,40,1.4,11.2,1.54,5.15,0,77.56095091,5215.973949,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,220
MI,DECATUR,382.3747572,55.00074784,7.011990171,2023,32,25,3,DF3191NE3,7,BASE,62,108512,268139.7429,0,60,1.7,20.4,1.52,5.52,0,80.62870588,5422.280471,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,220
