year,location,rep,trt,product,yield_bua
2022,BERRIEN 22,1,1,BASE+HEADSUP,65.2
2022,BERRIEN 22,1,2,BASE,62.5
2022,BERRIEN 22,2,1,BASE+HEADSUP,63.1
2022,BERRIEN 22,2,2,BASE,66.3
2022,BERRIEN 22,3,1,BASE+HEADSUP,65.8
2022,BERRIEN 22,3,2,BASE,65.6
2022,BERRIEN 22,4,1,BASE+HEADSUP,65.9
2022,BERRIEN 22,4,2,BASE,64.7
2022,BERRIEN 22,5,1,BASE+HEADSUP,64.1
2022,BERRIEN 22,5,2,BASE,65
2022,BERRIEN 22,6,1,BASE+HEADSUP,63.5
2022,BERRIEN 22,6,2,BASE,64.8
2022,BRANCH 22-1,1,2,BASE,71.4
2022,BRANCH 22-1,1,1,BASE+HEADSUP,74.4
2022,BRANCH 22-1,2,2,BASE,69.2
2022,BRANCH 22-1,2,1,BASE+HEADSUP,73.6
2022,BRANCH 22-1,3,2,BASE,67.9
2022,BRANCH 22-1,3,1,BASE+HEADSUP,66.6
2022,BRANCH 22-1,4,2,BASE,68.6
2022,BRANCH 22-1,4,1,BASE+HEADSUP,68.4
2022,BRANCH 22-1,5,2,BASE,64.4
2022,BRANCH 22-1,5,1,BASE+HEADSUP,66.3
2022,ALLEGAN 22,1,2,BASE,28.5
2022,ALLEGAN 22,1,1,BASE+HEADSUP,30.8
2022,ALLEGAN 22,2,2,BASE,29.2
2022,ALLEGAN 22,2,1,BASE+HEADSUP,30.4
2022,ALLEGAN 22,3,2,BASE,23.9
2022,ALLEGAN 22,3,1,BASE+HEADSUP,24.7
2022,ALLEGAN 22,4,2,BASE,24
2022,ALLEGAN 22,4,1,BASE+HEADSUP,25.6
2022,ALLEGAN 22,5,2,BASE,27.4
2022,ALLEGAN 22,5,1,BASE+HEADSUP,31.3
2022,ALLEGAN 22,6,2,BASE,29.8
2022,ALLEGAN 22,6,1,BASE+HEADSUP,31.1
2022,BRANCH 22-2,1,2,BASE,67.9
2022,BRANCH 22-2,1,1,BASE+HEADSUP,69.4
2022,BRANCH 22-2,2,2,BASE,65.3
2022,BRANCH 22-2,2,1,BASE+HEADSUP,69.1
2022,BRANCH 22-2,3,2,BASE,67.7
2022,BRANCH 22-2,3,1,BASE+HEADSUP,69
2022,BRANCH 22-2,4,2,BASE,68.2
2022,BRANCH 22-2,4,1,BASE+HEADSUP,69.6
2023,BERRIEN 23,1,2,BASE,68.7
2023,BERRIEN 23,1,1,BASE+HEADSUP,70.7
2023,BERRIEN 23,2,1,BASE+HEADSUP,65.9
2023,BERRIEN 23,2,2,BASE,68.2
2023,BERRIEN 23,3,1,BASE+HEADSUP,68.6
2023,BERRIEN 23,3,2,BASE,NA
2023,BERRIEN 23,4,1,BASE+HEADSUP,64.9
2023,BERRIEN 23,4,2,BASE,67.6
2023,BERRIEN 23,5,1,BASE+HEADSUP,66
2023,BERRIEN 23,5,2,BASE,67.3
2023,BERRIEN 23,6,1,BASE+HEADSUP,68.3
2023,BERRIEN 23,6,2,BASE,68.1
2023,SANILAC 23-1,1,2,BASE,54.9
2023,SANILAC 23-1,1,1,BASE+HEADSUP,56.8
2023,SANILAC 23-1,2,2,BASE,57.2
2023,SANILAC 23-1,2,1,BASE+HEADSUP,57.1
2023,SANILAC 23-1,3,2,BASE,55.9
2023,SANILAC 23-1,3,1,BASE+HEADSUP,57
2023,SANILAC 23-1,4,2,BASE,54
2023,SANILAC 23-1,4,1,BASE+HEADSUP,56.1
2023,SANILAC 23-1,5,2,BASE,56.6
2023,SANILAC 23-1,5,1,BASE+HEADSUP,57.1
2023,SANILAC 23-1,6,2,BASE,56
2023,SANILAC 23-1,6,1,BASE+HEADSUP,56.8
2023,SANILAC 23-1,7,2,BASE,55.6
2023,SANILAC 23-1,7,1,BASE+HEADSUP,56.1
2023,SANILAC 23-1,8,2,BASE,56.9
2023,SANILAC 23-1,8,1,BASE+HEADSUP,57.5
2023,SANILAC 23-1,9,2,BASE,57.8
2023,SANILAC 23-1,9,1,BASE+HEADSUP,57.3
2023,SANILAC 23-1,10,2,BASE,58.6
2023,SANILAC 23-1,10,1,BASE+HEADSUP,57.9
2023,SANILAC 23-1,11,2,BASE,58.3
2023,SANILAC 23-1,11,1,BASE+HEADSUP,NA
2023,SANILAC 23-2,1,1,BASE+HEADSUP,55.9
2023,SANILAC 23-2,1,2,BASE,NA
2023,SANILAC 23-2,2,1,BASE+HEADSUP,56.1
2023,SANILAC 23-2,2,2,BASE,57.6
2023,SANILAC 23-2,3,1,BASE+HEADSUP,NA
2023,SANILAC 23-2,3,2,BASE,58
2023,SANILAC 23-2,4,1,BASE+HEADSUP,58
2023,SANILAC 23-2,4,2,BASE,57.5
2023,SANILAC 23-2,5,1,BASE+HEADSUP,56.5
2023,SANILAC 23-2,5,2,BASE,NA
2023,KENT 23,1,2,BASE,NA
2023,KENT 23,1,1,BASE+HEADSUP,60.8
2023,KENT 23,2,2,BASE,65
2023,KENT 23,2,1,BASE+HEADSUP,60.4
2023,KENT 23,3,2,BASE,60.3
2023,KENT 23,3,1,BASE+HEADSUP,59
2023,KENT 23,4,2,BASE,60.2
2023,KENT 23,4,1,BASE+HEADSUP,57.6
2023,KENT 23,5,2,BASE,58.6
2023,KENT 23,5,1,BASE+HEADSUP,57.6
2023,KENT 23,6,2,BASE,64
2023,KENT 23,6,1,BASE+HEADSUP,57.6
